Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Adrian Mannarino,144,37.0,1645.6,,129,1609.6,217,1493.0,65,1646.7,,1896.3,2018-01,,89,0.48,1662.9
Aslan Karatsev,145,31.8,1643.9,,135,1603.7,113,1637.1,181,1502.7,,1964.6,2021-05,,253,-0.56,1513.0
Zsombor Piros,146,25.7,1643.4,,161,1564.9,115,1632.0,142,1543.7,,1731.0,2023-04,,162,-0.10,1679.2
Shintaro Mochizuki,147,22.1,1640.6,,167,1556.2,173,1546.7,64,1648.1,,1663.4,2025-06,,120,0.20,1679.8
Thiago Agustin Tirante,148,24.2,1638.8,,149,1582.5,127,1612.9,177,1507.9,,1672.2,2021-09,,135,0.09,1672.0
Luca Nardi,149,21.9,1637.6,,130,1607.8,140,1591.0,243,1455.0,,1724.6,2024-04,,98,0.42,1609.1
Hugo Gaston,150,24.8,1636.0,,126,1612.5,130,1605.1,145,1542.2,,1795.1,2021-11,,123,0.20,1585.3
Mattia Bellucci,151,24.1,1634.8,,140,1596.8,182,1530.5,109,1591.6,,1814.3,2024-10,,74,0.71,1595.3
James Duckworth,152,33.5,1633.7,,138,1598.8,191,1523.9,123,1563.7,,1785.9,2021-11,,99,0.43,1641.6
Tomas Barrios Vera,153,27.6,1633.7,,183,1533.8,135,1598.2,111,1585.0,,1710.3,2023-07,,131,0.16,1646.1
Michael Mmoh,154,27.3,1632.5,,132,1607.1,187,1526.2,155,1533.1,,1762.3,2017-02,,321,-0.73,1564.7
Alexander Blockx,155,20.3,1631.8,,125,1612.8,170,1552.3,128,1560.9,,1743.2,2025-01,,119,0.26,1620.3
Nishesh Basavareddy,156,20.2,1629.4,,104,1641.7,258,1447.2,188,1498.1,,1856.6,2025-01,,109,0.36,1580.6
Facundo Diaz Acosta,157,24.5,1629.4,,187,1532.0,118,1630.9,250,1450.7,,1791.9,2024-02,,255,-0.49,1588.9
Andrea Pellegrino,158,28.3,1627.2,,289,1421.3,129,1605.9,279,1435.5,,1644.1,2025-06,,139,0.13,1685.0
Fabio Fognini,159,38.1,1622.9,,158,1568.7,122,1620.0,133,1554.3,,2003.8,2014-04,,,,1394.4
Jerome Kym,160,22.4,1618.8,,162,1564.4,137,1593.8,203,1487.1,,1738.0,2024-10,,179,-0.11,1603.0
Pierre Hugues Herbert,161,34.3,1617.5,,134,1605.4,179,1537.0,130,1558.7,,1867.9,2019-06,,134,0.18,1582.1
Jan Choinski,162,29.1,1614.5,,217,1503.8,131,1605.1,300,1423.2,,1632.0,2023-08,,151,0.07,1675.3
Facundo Bagnis,163,35.4,1613.6,,180,1536.2,134,1601.2,392,1374.7,,1737.0,2021-07,,454,-1.02,1544.4
Leandro Riedi,164,23.4,1613.5,,152,1576.6,184,1529.2,98,1604.6,,1823.3,2023-01,,522,-1.16,1520.8
Thiago Seyboth Wild,165,25.3,1611.7,,141,1594.1,144,1583.2,168,1517.9,,1793.4,2024-05,,137,0.19,1556.0
George Loffhagen,166,24.2,1611.1,,146,1587.6,302,1415.6,201,1487.8,,1649.0,2025-07,,229,-0.32,1655.8
Luka Pavlovic,167,25.2,1611.1,,347,1374.9,141,1589.9,154,1533.4,,1635.0,2025-07,,191,-0.13,1620.4
Valentin Vacherot,168,26.6,1610.6,,159,1567.3,138,1592.5,237,1459.3,,1740.8,2024-03,,246,-0.38,1569.5
Giulio Zeppieri,169,23.6,1609.9,,154,1575.4,161,1564.3,116,1572.9,,1691.2,2022-07,,271,-0.47,1596.2
Eliot Spizzirri,170,23.5,1609.6,,123,1613.7,215,1495.7,150,1536.8,,1714.6,2025-04,,125,0.31,1609.8
Roman Andres Burruchaga,171,23.4,1609.4,,225,1494.2,149,1581.4,163,1520.4,,1669.3,2024-05,,145,0.16,1605.4
Alex Molcan,172,27.6,1606.9,,139,1597.9,151,1578.7,136,1548.1,,1872.5,2022-07,,362,-0.74,1500.0
Dalibor Svrcina,173,22.8,1605.0,,131,1607.4,166,1555.4,226,1471.5,,1712.9,2025-04,,115,0.41,1582.3
Terence Atmane,174,23.5,1603.5,,150,1581.6,162,1563.8,195,1491.6,,1707.1,2023-10,,136,0.25,1582.7
Jack Pinnington Jones,175,22.3,1603.4,,251,1465.1,252,1453.3,95,1609.1,,1640.9,2025-07,,193,-0.10,1644.8
Kyle Edmund,176,30.4,1602.2,,156,1573.5,148,1581.8,127,1561.1,,1952.7,2019-03,,414,-0.86,1609.3
Hyeon Chung,177,29.1,1601.0,,147,1584.9,147,1582.0,240,1456.4,,1991.8,2018-03,,364,-0.72,1440.5
Marco Trungelliti,178,35.4,1599.3,,211,1508.7,139,1591.8,230,1467.5,,1693.1,2018-07,,182,-0.02,1618.5
Harold Mayot,179,23.4,1596.8,,166,1556.3,145,1582.5,172,1512.6,,1701.9,2024-06,,156,0.14,1588.3
Martin Landaluce,180,19.5,1594.3,,160,1566.8,208,1505.5,106,1595.4,,1741.8,2024-10,,142,0.24,1575.0
Vilius Gaubas,181,20.5,1594.1,,250,1468.5,154,1572.5,152,1535.8,,1718.5,2025-05,,148,0.20,1596.6
Francesco Maestrelli,182,22.6,1593.0,,199,1523.6,159,1565.8,268,1442.0,,1711.4,2022-07,,158,0.14,1637.4
August Holmgren,183,27.2,1591.6,,204,1518.5,266,1441.1,75,1636.1,,1677.9,2021-09,,187,-0.02,1625.1
Marc Andrea Huesler,184,29.0,1589.5,,145,1588.1,178,1541.5,176,1509.3,,1817.0,2023-02,,172,0.07,1503.4
Maximilian Marterer,185,30.0,1589.2,,184,1532.9,146,1582.2,170,1515.3,,1815.1,2018-06,,347,-0.63,1504.1
Jaime Faria,186,21.9,1588.7,,219,1501.8,176,1543.6,131,1556.3,,1692.5,2024-05,,124,0.41,1566.4
Elias Ymer,187,29.2,1586.8,,192,1529.6,164,1556.7,159,1527.2,,1751.8,2015-06,,235,-0.23,1603.7
J J Wolf,188,26.1,1586.4,,170,1551.2,174,1546.3,157,1528.8,,1847.7,2023-02,,556,-1.08,1546.8
Federico Coria,189,33.3,1585.9,,245,1473.6,160,1564.6,351,1394.6,,1754.4,2021-07,,153,0.21,1526.5
Daniel Elahi Galan,190,29.0,1584.9,,190,1529.9,163,1563.3,165,1519.4,,1757.5,2022-09,,144,0.28,1533.8
Rei Sakamoto,191,19.0,1584.6,,168,1556.2,275,1433.6,192,1492.3,,1656.2,2025-07,,200,-0.05,1587.4
Arthur Fery,192,23.0,1584.3,,169,1555.0,323,1402.1,251,1450.6,,1663.0,2023-10,,314,-0.49,1628.1
Chun Hsin Tseng,193,23.9,1582.9,,221,1497.0,142,1589.5,306,1419.6,,1715.6,2022-04,,113,0.54,1561.2
Gustavo Heide,194,22.9,1581.7,,263,1454.0,155,1571.6,235,1460.3,,1661.1,2024-07,,324,-0.51,1584.2
Alex Bolt,195,32.5,1576.7,,207,1513.4,369,1353.4,114,1573.7,,1688.9,2019-03,,228,-0.16,1562.6
Pavel Kotov,196,26.6,1576.6,,171,1548.9,172,1547.1,193,1492.3,,1797.1,2024-05,,249,-0.24,1446.6
Luca Van Assche,197,21.2,1575.5,,163,1562.9,175,1545.8,191,1492.6,,1801.5,2023-04,,196,0.01,1539.2
Juan Pablo Ficovich,198,28.5,1575.4,,197,1524.6,183,1530.1,186,1498.9,,1597.4,2020-10,,127,0.44,1617.6
Billy Harris,199,30.5,1575.1,,174,1543.0,272,1435.9,146,1539.9,,1711.4,2024-06,,149,0.29,1566.3
Felipe Meligeni Alves,200,27.3,1574.0,,247,1470.2,157,1569.8,140,1545.5,,1695.3,2023-10,,160,0.22,1532.1
Seong Chan Hong,201,27.2,1573.0,,172,1543.3,261,1444.7,343,1397.6,,1613.7,2024-04,,635,-1.15,
Federico Cina,202,18.3,1572.1,,175,1542.8,198,1513.4,204,1486.0,,1644.2,2025-06,,230,-0.13,1592.3
Thiago Monteiro,203,31.1,1569.9,,173,1543.0,165,1556.5,224,1471.8,,1748.2,2024-05,,168,0.19,1447.0
Kyrian Jacquet,204,24.2,1568.9,,153,1575.7,201,1508.2,179,1507.3,,1735.1,2025-02,,164,0.22,1520.0
